"","gender","kage","k_read_irt","k_read1","k_read2","k_read3","k_read4","k_print","k_read_tht","k_math_irt","k_math1","k_math2","k_math3","k_math4","k_math_tht","k_gk_irt","k_gk_tht","f_mtr","g_mtr","P1LEARN","P1CONTRO","P1SOCIAL","P1SADLON","P1IMPULS","ars_lit","ars_mth","ars_gk","T1LEARN","T1CONTRO","T1INTERP","T1EXTERN","T1INTERN","height","weight","bmi","hisp","na_amer","asian","black","pac_isl","white","m_race","ses_c","ses_cat","poor","income","g8_read","g8_read_tht","g8_math","g8_math_tht","g8_sci","g8_sci_tht"
"702",-1,68.53,35.83,0.91,0.285,0.085,0.001,2,-0.963,21.68,0.975,0.364,0.016,0,-1.229,9.74,-1.405,6,3,2.83,2.8,3.67,1.25,2,2.16,1.72,1.75,3,3,3,1.2,1.25,45.38,49.5,17,2,2,2,1,2,2,2,-0.46,2,2,29000,171.52,1.262,142.03,1.398,57.62,-0.289
"703",0,59.97,30.87,0.597,0.063,0.017,0,0,-1.303,17.81,0.876,0.104,0.002,0,-1.569,19.635,-0.461,5,6,2.67,2.8,3,1,1.5,2.96,2.93,4.4,2.67,3.5,3.6,2.6,1.25,45,47,16.32,2,2,2,2,2,1,2,0.11,4,2,30000,158.37,1.112,111.98,0.909,67.92,0.111
"704",0,69.07,33.85,0.827,0.165,0.046,0.001,1,-1.095,24.19,0.99,0.583,0.046,0.001,-1.032,27.144,0.054,7,8,3,3.8,3.67,1.25,2,3.05,3.26,3.44,3.5,3.5,3.8,1,1.25,43,34.5,13.12,2,2,2,1,2,1,2,0.01,3,2,1e+05,189.17,1.528,162.54,1.872,99.44,1.764
"705",-1,72.4,61.85,1,0.994,0.963,0.665,3,0.219,25.8,0.994,0.701,0.085,0.002,-0.922,28.087,0.111,3,8,3.5,3.8,3.33,1.25,1,4.04,2.56,2.67,3.17,2.75,2.2,1.2,1,43.5,45.5,17.1,2,2,2,2,2,1,2,0.07,4,2,55000,153.62,1.062,101.78,0.771,84.03,0.808
"706",0,72.4,26.54,0.179,0.011,0.003,0,2,-1.677,19.82,0.947,0.213,0.007,0,-1.387,15.565,-0.782,6,8,3.5,3.6,4,2,1,2.58,2.44,2.67,4,3.5,4,1.2,1.5,47.38,67.25,20.57,1,2,2,2,2,2,2,-0.77,1,2,16000,170.11,1.246,126.57,1.136,88.13,1.013
"707",-1,69.9,37.9,0.956,0.446,0.153,0.003,1,-0.815,25.37,0.993,0.672,0.072,0.002,-0.949,23.633,-0.18,6,7,3.17,3.6,4,1.25,1,2.66,2.23,2.46,3.5,3.75,3.2,2,1.5,47.75,48.5,14.49,2,2,2,2,2,1,2,0.06,3,2,54000,193.92,1.628,127.74,1.155,73.52,0.338
"708",0,72.67,32.85,0.764,0.121,0.033,0,1,-1.167,32.07,0.999,0.929,0.426,0.017,-0.529,22.543,-0.252,8,8,3.33,2.8,4,1.75,2,4.32,5,4.86,3.83,3.75,4,1.6,2,48,62,19.63,2,2,2,2,2,1,2,0.2,4,2,68000,184.4,1.445,168.87,2.173,85.81,0.899
"709",0,68.7,27.64,0.272,0.018,0.005,0,2,-1.584,18.89,0.922,0.158,0.004,0,-1.472,24.862,-0.099,4,8,3.17,2,3.33,1.5,3,2.38,2.34,2,3,3.33,3,1.2,1,41.5,29.5,12.17,2,2,2,2,2,1,2,-0.68,1,2,30000,102.6,0.571,101.29,0.767,46.33,-0.735
"710",0,62.27,32.68,0.754,0.114,0.032,0,0,-1.179,26.21,0.995,0.727,0.095,0.003,-0.891,26.754,0.028,6,7,2.67,3.2,3.67,2.75,1.5,3.05,3.56,3.92,2.83,3.25,3.5,1.6,2,42.5,56,21.33,1,2,2,2,2,1,2,1.46,5,2,140000,188.69,1.518,165.6,1.991,99.38,1.756
"711",-1,66.87,41.46,0.987,0.718,0.344,0.012,1,-0.588,28.6,0.998,0.843,0.199,0.006,-0.743,12.046,-1.125,7,1,3.67,2.6,1.67,1.25,2,2.04,2.11,1.75,2.5,3,2,1.4,1.5,43.5,38,13.88,2,2,2,2,2,1,2,1.86,5,2,150000,194.88,1.652,163.46,1.906,79.4,0.589
"712",-1,69.77,25.6,0.111,0.007,0.002,0,0,-1.775,14.01,0.479,0.013,0,0,-2.044,12.251,-1.108,4,8,3.17,2.8,4,1.5,2.5,1.44,1.72,1.07,2.17,2.5,2.2,1,1.75,46,50,16.61,1,2,2,2,2,2,2,-0.46,2,2,15000,109.47,0.638,99.25,0.732,45.25,-0.78
"713",-1,67.4,24.82,0.071,0.004,0.001,0,1,-1.864,23.95,0.989,0.561,0.041,0.001,-1.05,29.529,0.202,3,8,4,3.6,3,1.25,4,4.74,5,4.92,3.83,3.5,2.8,1,2,45,44.75,15.45,2,2,2,2,2,1,2,0.28,4,2,40000,197.7,1.727,161.77,1.849,99.15,1.742
"714",0,66.37,46.72,0.997,0.916,0.677,0.064,3,-0.296,42.71,1,0.992,0.92,0.208,-0.041,24.41,-0.127,7,8,2.5,2.2,2.33,1.75,2.5,4.32,3.28,3.65,2.83,2.75,3.8,2,2,43.88,42,15.43,2,2,2,2,2,1,2,0.22,4,2,75000,155.55,1.083,136.28,1.296,65.07,0.007
"715",0,65.27,28.58,0.363,0.027,0.008,0,2,-1.51,23.81,0.989,0.552,0.04,0.001,-1.061,21.423,-0.334,8,8,2.83,2.6,2.33,1.75,2,2.67,2.95,4.92,3.4,3,3,1.8,2.25,42.75,41,15.97,2,2,2,2,2,1,2,1.06,5,2,145000,176.99,1.334,136.86,1.307,76.84,0.479
"716",0,75.47,32.18,0.714,0.097,0.027,0,3,-1.221,27.11,0.996,0.777,0.129,0.004,-0.835,16.904,-0.674,9,7,3,2.6,3.67,1.75,3,2.16,2.11,2.95,3,3,3.25,1,1.25,45.13,51.25,17.95,1,2,2,2,2,2,2,-0.41,2,2,40000,90.51,0.43,92.37,0.637,63.65,-0.047
"717",-1,65.47,49.85,0.999,0.956,0.804,0.141,3,-0.157,49.15,1,0.998,0.98,0.506,0.196,30.853,0.293,8,8,3.17,2.8,4,1.25,2,3.35,3.66,3.65,3.5,2.75,3,1,1,44,44.5,16.16,2,2,2,2,2,1,2,0.92,5,2,1e+05,197.2,1.714,160.25,1.801,90.81,1.163
"718",-1,67.13,31.08,0.619,0.067,0.019,0,1,-1.289,22.79,0.984,0.463,0.026,0.001,-1.138,18.961,-0.51,4,7,3.17,3.2,3.33,1,1.5,2.54,2.56,3.23,2.83,2.5,3,2.4,1.25,45,46,15.97,2,2,2,2,2,1,2,-0.5,2,2,40000,159.11,1.12,117.78,0.996,62.2,-0.113
"719",0,71.1,36.57,0.931,0.338,0.106,0.002,2,-0.906,31.22,0.999,0.914,0.365,0.013,-0.601,22.925,-0.228,5,0,3,2.8,4,2,2,2.48,3.55,2.95,3,3.25,3,1.2,1.25,44,44,15.98,2,2,2,2,2,1,2,2.36,5,2,1e+05,208.44,2.323,163.39,1.901,100.16,1.826
"720",0,72.87,58.15,1,0.989,0.942,0.495,3,0.147,32.59,0.999,0.936,0.46,0.019,-0.545,17.253,-0.645,8,8,3.33,3.2,3.33,1,1,3.71,3.77,3.92,3.83,3.5,3.4,1.4,1.25,47.38,50.25,15.91,2,2,2,2,2,1,2,0.55,4,2,275000,192.11,1.587,163.24,1.898,97.6,1.615
"721",-1,69.03,34.88,0.876,0.222,0.064,0.001,2,-1.028,40.15,1,0.987,0.866,0.125,-0.154,29.649,0.217,6,6,3.5,2.8,3.33,2,2,2.58,2.23,2.26,3.5,4,4,1.8,1.5,44.63,47.5,16.68,2,2,1,2,2,2,2,0.07,4,2,80000,207.7,2.253,166.71,2.046,106.69,2.698
"722",-1,64,23.91,0.035,0.002,0.001,0,0,-1.984,18.68,0.915,0.146,0.004,0,-1.489,12.252,-1.1,3,8,3.17,1,3.33,2.25,4,1.44,1.72,1.02,2,2.25,2.4,2.4,1.75,41,34,14.22,2,2,2,1,2,2,2,-0.67,1,2,26000,131.67,0.857,104.52,0.807,44.1,-0.802
"723",0,73.6,48.95,0.998,0.948,0.769,0.116,3,-0.19,41.5,1,0.99,0.898,0.166,-0.098,30.82,0.29,6,8,3.17,3,3.33,1.5,1.5,2.28,2.21,2.46,3,2.75,3.2,2,1.25,45,54,18.89,2,2,1,2,2,2,2,1.04,5,2,60000,195.22,1.661,168.01,2.112,94.36,1.38
"724",0,63,27.19,0.23,0.015,0.004,0,1,-1.618,18.64,0.914,0.144,0.004,0,-1.495,12.483,-1.077,5,8,3.83,2,3.33,2.25,4,1.02,1,1.31,2,3,2.5,2,1,48,49.5,15.11,2,1,2,2,2,2,2,-0.47,2,1,10579.2,160.8,1.138,124.25,1.098,70.39,0.214
"725",-1,66.13,42.57,0.991,0.782,0.422,0.017,3,-0.482,41.07,1,0.989,0.889,0.154,-0.116,33.656,0.482,8,8,2.67,3,2,1.25,1.5,3.26,3.94,3.92,3.17,3.33,3.8,1.2,1.25,47.25,45,14.17,2,2,2,2,2,1,2,0.55,4,2,42000,195.97,1.681,168.94,2.177,104.73,2.349
"726",0,71.6,36.73,0.934,0.352,0.112,0.002,3,-0.89,36.08,1,0.97,0.691,0.049,-0.363,23.911,-0.162,9,8,2.83,3.2,3.67,2,1.5,2.67,2.79,2.95,3.83,3.75,4,1,1.75,43.13,42,15.97,2,2,2,2,2,1,2,0.24,4,2,19500,188.33,1.512,163.89,1.921,94.46,1.386
"727",0,72.93,53.65,0.999,0.978,0.887,0.281,3,-0.03,55.3,1,0.999,0.993,0.773,0.414,36.809,0.698,7,7,3.67,3,3.67,1.25,2,4.04,4.82,4.92,4,4,4,1.4,1.5,46,52,17.19,2,2,2,2,2,1,2,1.28,5,2,95000,203.45,1.955,166.95,2.055,103.2,2.154
"728",0,65.8,36.71,0.932,0.353,0.109,0.002,3,-0.901,28.04,0.997,0.819,0.17,0.005,-0.77,35.154,0.579,8,8,3,3,4,1,1.5,1.9,2.23,2,2.83,2.25,2.2,2.4,1.75,44.63,45.5,15.97,2,2,1,2,2,1,2,0.64,5,2,34000,194.06,1.631,170.32,2.29,97.6,1.612
"729",0,63.13,32.69,0.753,0.117,0.032,0,0,-1.179,20.64,0.962,0.276,0.01,0,-1.316,26.2,-0.009,6,7,3.33,3.2,3.33,1.75,1.5,2.48,2.34,2.26,3.67,4,3.8,1,1.25,43.5,44.5,16.63,1,2,2,2,2,2,2,-0.4,2,2,65000,186.59,1.481,158.32,1.748,95.71,1.471
"730",-1,70.87,50.82,0.999,0.964,0.827,0.172,3,-0.132,48.88,1,0.997,0.978,0.477,0.196,35.809,0.628,5,5,3,3.8,3,1.75,1,2.77,3.12,3.44,3,3.75,3.4,1,1.75,44.5,39.5,14.02,2,2,2,2,2,1,2,1.41,5,2,1e+05,202.22,1.892,171.15,2.381,106.16,2.591
"731",0,70.87,49.27,0.998,0.952,0.789,0.125,3,-0.192,29.24,0.998,0.863,0.233,0.007,-0.706,28.4,0.135,4,7,3.83,3,3.33,1.75,2,3.05,3.33,3.01,3.5,3,2.6,2,2,46.75,48.25,15.61,2,2,1,1,2,2,2,1.15,5,2,60000,199.24,1.779,162.9,1.887,103.95,2.247
"732",-1,74.7,36.91,0.938,0.363,0.115,0.002,3,-0.887,30.53,0.999,0.899,0.314,0.011,-0.613,25.869,-0.028,7,8,3.67,3,3,1.25,1.5,3.15,3.11,3.65,3,2.75,2.8,1.4,1.25,44.63,41,14.54,2,2,2,2,2,1,2,0.75,5,2,90000,180.14,1.379,157.5,1.726,84.9,0.845
"733",-1,66.07,25.38,0.097,0.006,0.002,0,2,-1.784,15.71,0.703,0.04,0.001,0,-1.789,19.485,-0.474,3,4,2.33,1.8,3.67,1,2.5,2.67,2.23,3.44,4,4,3.8,1,1,44.75,48.75,17.01,1,2,2,2,2,2,2,-0.14,3,2,65000,186.86,1.484,120.33,1.036,89.69,1.099
"734",-1,73.6,26.03,0.142,0.008,0.003,0,0,-1.725,18.82,0.92,0.153,0.004,0,-1.477,20.43,-0.404,7,7,2.67,2.8,3.33,1.25,2,2.38,2.8,3.01,3.17,3.5,3.2,1.6,1.25,46.13,52,16.93,2,2,2,2,2,1,2,-0.14,3,2,80000,184.7,1.449,131.66,1.218,69.89,0.193
"735",-1,68.67,30.1,0.522,0.048,0.013,0,0,-1.356,19.4,0.937,0.185,0.005,0,-1.423,24.563,-0.118,6,6,2.5,2.4,2.67,1.5,2,2.16,2.11,2,2.67,3,2.8,1.8,1.5,45.25,49,16.83,2,2,2,2,2,1,2,-1.1,1,2,25000,166.08,1.198,135.01,1.273,81.72,0.698
"736",0,79,26.78,0.194,0.012,0.004,0,1,-1.652,15.43,0.667,0.035,0.001,0,-1.832,11.911,-1.139,3,4,2.67,3.2,3,1.25,1.5,1.08,1.33,1.31,2.67,3.5,2.8,2,1,45.5,43.5,14.69,1,2,2,2,2,1,2,-0.78,1,1,17000,104.62,0.592,119.9,1.029,65.33,-0.003
"737",-1,64.57,28.37,0.341,0.025,0.007,0,3,-1.526,21,0.967,0.306,0.012,0,-1.284,18.395,-0.551,8,4,3,2.4,2.67,2.25,1.5,1.81,2.11,2,2,3,3,1.8,2,41.5,38,15.42,1,2,2,2,2,2,2,0.23,4,2,75000,147.2,1,138.59,1.339,65.68,0.026
"738",0,64.67,34.5,0.86,0.201,0.057,0.001,1,-1.052,36.39,1,0.972,0.709,0.052,-0.348,25.646,-0.046,8,7,2.67,2.6,3.33,1.5,1.5,3.15,3.42,3.23,3.33,3.25,3.2,1.2,1.25,43.1,39,14.83,2,2,2,2,2,1,2,0.35,4,2,80000,178.4,1.354,146.2,1.476,97.63,1.613
"739",-1,61.43,74.8,1,0.999,0.987,0.911,3,0.589,32.23,0.999,0.931,0.434,0.018,-0.531,32.783,0.42,8,8,4,2.4,3,2,2,4.32,3.77,3.65,3.83,3.25,3.4,1,1.25,44.25,43.5,15.62,2,2,2,2,2,1,2,2.11,5,2,2e+05,198.42,1.751,154.61,1.654,100.91,1.899
"740",-1,58.8,26.29,0.158,0.01,0.003,0,0,-1.704,16.3,0.77,0.052,0.001,0,-1.728,8.004,-1.844,2,2,3,2.6,2.67,1.75,1.5,1.9,1.72,2,2.17,2,2,1.75,1.25,42.25,50,19.93,2,2,2,1,2,2,2,-0.44,2,2,36000,139.01,0.921,113.03,0.931,55.21,-0.359
"741",-1,65.03,41.01,0.984,0.688,0.318,0.01,3,-0.605,28.24,0.997,0.826,0.18,0.005,-0.76,22.527,-0.257,6,7,3.83,2.8,4,1.5,1.5,2.86,3.06,3.44,3,3.25,2.8,1.6,1.25,39.5,31.5,14.1,2,2,2,2,2,1,2,-0.22,3,2,28000,193.71,1.624,148.52,1.525,90.27,1.129
"742",-1,70.93,26.57,0.182,0.011,0.003,0,1,-1.675,19.3,0.935,0.181,0.005,0,-1.432,19.27,-0.488,6,4,2.67,2.8,3.33,1.5,2,2.58,2.23,2.46,2.83,3.25,3,1,2,42.5,36,14.1,2,2,2,2,2,1,2,0.49,4,2,43000,142.31,0.953,122.3,1.067,74.41,0.372
"743",0,70.93,42.18,0.989,0.759,0.398,0.015,3,-0.54,29.84,0.998,0.882,0.266,0.009,-0.66,32.466,0.397,6,8,2.33,2.8,4,1.5,1.5,2.77,2.87,2.95,2.83,3,2.6,1.4,2.5,45,45.25,15.62,2,2,2,2,2,1,2,0.24,4,2,50000,199.59,1.792,151.8,1.59,98.71,1.699
"744",0,72.87,27.75,0.285,0.019,0.005,0,2,-1.568,28.91,0.998,0.853,0.216,0.006,-0.724,23.014,-0.22,7,8,3.5,2.6,3.33,2,2,2.28,2.23,2,2.67,3,2.8,1.2,1.5,45.5,45.75,15.62,2,2,2,2,2,1,2,-0.06,3,2,55000,185.11,1.455,127.47,1.151,80.3,0.631
"745",0,65.77,37.9,0.956,0.445,0.154,0.003,3,-0.815,34.44,0.999,0.958,0.589,0.032,-0.445,18.131,-0.576,8,8,3,3.6,3.33,1.5,1,2.67,2.79,2.26,3.33,3.5,2.8,1,2,45,60.5,19.96,2,2,2,2,2,1,2,-0.03,3,2,40000,201.93,1.882,157.81,1.734,100.42,1.852
"746",-1,65.07,33.29,0.794,0.139,0.039,0,2,-1.135,26.87,0.996,0.762,0.12,0.003,-0.848,18.471,-0.548,8,6,2.83,2,2.67,1.75,2.5,2.34,2.23,1.54,3.17,3.5,3.2,1,1.5,44.5,47,16.69,1,2,2,2,2,2,2,-0.68,1,2,20000,183.41,1.429,143.89,1.433,87.14,0.96
"747",-1,67.93,34,0.835,0.173,0.048,0.001,3,-1.088,29.72,0.998,0.878,0.262,0.008,-0.679,19.849,-0.444,9,8,3.5,3,4,2.25,2,3.15,3.44,3.44,3.33,3,3.8,1.6,2,44.5,40,14.29,2,2,2,2,2,1,2,-0.21,3,2,18000,163.7,1.171,153.89,1.639,82.54,0.734
"748",0,67.83,25.42,0.101,0.006,0.002,0,2,-1.788,27.36,0.997,0.792,0.139,0.004,-0.812,27.763,0.093,3,4,2.83,3.2,3.67,1,2.5,2.58,2.93,3.44,4,4,4,1,1,43.75,43,15.79,2,2,2,2,2,1,2,-0.36,2,2,68000,194.82,1.65,126.24,1.128,96.98,1.563
"749",-1,70.67,34.3,0.85,0.189,0.053,0.001,0,-1.064,21.01,0.967,0.307,0.012,0,-1.284,12.685,-1.05,2,8,3,2.4,3.67,2,1,2.66,2.28,2,2.5,2.75,2.75,2.4,1.25,47.5,55,16.9,1,2,2,2,2,2,2,-0.48,2,1,17000,149.28,1.02,153.09,1.62,78.16,0.534
"750",0,63.03,32.01,0.701,0.094,0.025,0,1,-1.228,23.42,0.987,0.517,0.034,0.001,-1.09,20.908,-0.369,6,8,2.67,3,3,1.75,1,2.58,2.54,2.46,2.67,3.33,3,1.4,1.5,43.75,44,16.07,2,2,2,2,2,1,2,0.77,5,2,40000,195.18,1.659,160.24,1.8,103.49,2.183
"751",0,70.6,29.42,0.452,0.037,0.01,0,0,-1.422,19.34,0.935,0.183,0.005,0,-1.429,24.563,-0.118,6,8,3.67,3.2,4,1.5,2.5,1.72,1.99,1.75,2.67,3,2.8,1,1.25,44.5,47.5,16.78,2,2,2,2,2,1,2,0.05,3,2,70000,164.06,1.174,128.55,1.165,88.56,1.035
"752",0,75.17,38.19,0.961,0.475,0.166,0.003,3,-0.798,28.62,0.998,0.842,0.199,0.006,-0.72,31.209,0.317,7,8,4,3.2,3.33,1.25,1.5,2.79,2.9,3.23,2.83,3.67,3,1,1.5,43,39,14.83,2,2,2,2,2,1,2,2.04,5,2,120000,178.5,1.355,156.38,1.697,94.62,1.399
"753",0,64.13,40.24,0.98,0.633,0.273,0.007,1,-0.665,29.81,0.998,0.882,0.267,0.009,-0.679,32.587,0.41,8,6,3.17,3,4,1.5,1.5,3.25,3.77,2.94,4,3.75,3.8,1,1.25,43.25,38.5,14.47,2,2,2,2,2,1,2,-0.61,2,2,43000,183.05,1.422,161.48,1.838,95.74,1.478
"754",0,68.73,38.68,0.966,0.508,0.187,0.004,2,-0.765,25.86,0.994,0.705,0.085,0.002,-0.915,26.941,0.039,8,6,3.17,3.2,3,1,2,2.04,1.99,2.28,3.17,3.75,3.25,1,1.25,43.5,40.5,15.05,1,2,2,2,2,1,2,-0.13,3,2,98000,194.81,1.649,151.34,1.582,85.51,0.879
"755",-1,70.63,27.76,0.286,0.019,0.005,0,3,-1.569,15.08,0.633,0.029,0,0,-1.844,17.886,-0.591,4,7,2.83,3.2,3,1.25,2,2.48,2.23,1.54,1.83,2,2.6,3,2.5,49,99.25,26.02,2,2,2,2,2,1,2,1.16,5,2,90000,139.99,0.931,139.39,1.35,77.45,0.501
"756",-1,73.8,28.99,0.406,0.031,0.009,0,3,-1.479,40.06,1,0.987,0.859,0.121,-0.174,32.834,0.421,6,8,2.17,3.4,2.67,1.75,2.5,2.54,3.44,2.67,2.33,3.67,2.4,1.2,2,49.5,73.5,20.79,2,2,2,2,2,1,2,-0.09,3,2,45000,196.02,1.682,160.31,1.802,101.62,1.973
"757",-1,72.9,31.69,0.67,0.084,0.023,0,3,-1.247,30.57,0.999,0.9,0.318,0.011,-0.619,27.435,0.072,9,6,2.83,3.4,2.67,1.75,1.5,2.96,4.25,3.92,3.83,3.5,3.2,1,1.5,45.75,55,18.42,2,2,2,2,2,1,2,0.63,5,2,60000,193.57,1.621,170.27,2.281,101.22,1.93
"758",-1,64.13,22.64,0.01,0.001,0,0,1,-2.2,16.56,0.793,0.06,0.001,0,-1.704,14.305,-0.903,7,8,2.5,2.6,3,1.25,2,1.02,1,1.31,1.83,2.5,2.4,3.2,2,43,38.25,14.45,1,2,2,2,2,2,2,0.25,4,2,70000,167.83,1.22,132.19,1.228,85.89,0.899
"759",-1,72.6,57.68,1,0.989,0.937,0.467,3,0.143,54.15,1,0.999,0.992,0.722,0.377,40.128,0.928,8,4,3.17,2.8,3.67,1.25,1.5,4.04,5,4.92,3.67,3.5,2.6,1.6,1.25,53.75,55.5,13.91,2,2,2,2,2,1,2,1.04,5,2,95000,192.49,1.596,171.39,2.413,99.84,1.802
"760",0,68.1,25.15,0.088,0.005,0.002,0,2,-1.822,13.83,0.439,0.013,0,0,-2.059,29.614,0.212,5,4,3,2.8,3,1.5,2,2.77,2.79,3.25,3.17,2.75,3.2,1.8,1,45.75,46,15.37,2,2,2,2,2,1,2,0.82,5,2,90000,96.42,0.48,76.61,0.418,65.91,0.034
"761",0,65.87,39.91,0.978,0.61,0.251,0.006,3,-0.682,37.49,1,0.978,0.763,0.068,-0.264,27.432,0.07,7,6,3.17,3.4,3.67,1.25,1.5,2.67,2.23,2.26,3,3.25,3.4,1.4,1.25,44.63,40.5,14.56,2,2,2,2,2,1,2,-0.39,2,2,37000,155.55,1.082,139.54,1.353,84.91,0.845
"762",0,70.83,33.1,0.783,0.133,0.037,0,3,-1.146,18.11,0.888,0.117,0.003,0,-1.542,26.934,0.038,5,5,3,3.2,3.33,1.75,1.5,2.16,1.99,2.46,2.33,2.25,2.2,1.6,2.5,47,44.5,14.16,2,2,2,2,2,1,2,0.72,5,2,60000,195.45,1.667,142.99,1.416,95.63,1.468
"763",0,67.03,36.91,0.937,0.366,0.117,0.002,3,-0.882,24.45,0.991,0.605,0.051,0.001,-1.011,22.175,-0.278,7,8,3.67,3.6,3,1.25,1.5,2.58,2.79,3.92,3.83,3.75,4,1.4,2,44.5,52.25,18.46,2,2,2,2,2,1,2,0,3,2,30000,152.61,1.053,144.45,1.446,72.35,0.288
"764",0,64.1,42.62,0.991,0.783,0.422,0.018,2,-0.462,28.78,0.998,0.848,0.208,0.006,-0.731,29.088,0.18,7,5,3.17,3.2,4,2.25,1.5,2.04,1.72,2.46,3,3,2.8,1,2.25,45.88,56.5,18.41,2,2,2,2,2,1,2,-0.39,2,2,33000,188.1,1.507,118.11,1.001,83.07,0.759
"765",0,65.73,36.39,0.925,0.325,0.101,0.002,1,-0.918,20.61,0.962,0.275,0.01,0,-1.317,23.785,-0.17,7,8,2.83,3.2,2.67,1.25,1.5,2.77,2.23,3.37,3.5,3.33,3.8,1.2,1.25,44,44,15.98,2,2,2,2,2,1,2,-0.46,2,2,40000,166.5,1.203,152.24,1.601,76.88,0.479
"766",0,65.9,26.11,0.147,0.009,0.003,0,2,-1.72,20.25,0.956,0.246,0.008,0,-1.349,30.461,0.268,7,8,3.17,2.6,3.33,1.25,1.5,2.28,2.11,2.46,3,2,2.8,1.6,1,44.5,48.25,17.04,2,2,2,1,2,2,2,0.07,4,2,50000,193.89,1.628,158.73,1.758,99.49,1.773
"767",-1,73,36.8,0.935,0.359,0.114,0.002,3,-0.888,27.85,0.997,0.813,0.162,0.005,-0.778,25.983,-0.024,6,7,4,3,4,1.75,2.5,2.28,1.99,1.75,2.83,3,2.6,1.6,2.25,43,42,15.97,2,1,2,2,2,2,2,0.27,4,2,75000,177.98,1.349,122.87,1.073,74.61,0.381
"768",0,67.07,42.35,0.99,0.767,0.412,0.016,2,-0.528,34.38,0.999,0.957,0.583,0.032,-0.445,31.084,0.308,5,8,3.83,2.8,3.33,1.25,1.5,2.96,2.34,2.61,3.17,3.25,3.2,1.4,1.25,47.5,51.5,16.05,2,2,2,2,2,1,2,0.77,5,2,70000,203.57,1.957,161.25,1.831,97.35,1.597
"769",-1,72.83,31.11,0.622,0.068,0.019,0,2,-1.283,21.73,0.975,0.365,0.016,0,-1.221,21.014,-0.36,6,8,3.17,3.6,4,1,2,3.46,3.88,4.19,4,3.5,4,1.8,1.75,42.5,41.5,16.15,2,2,2,1,2,2,2,0.54,4,2,40000,171.76,1.266,156.79,1.707,98.81,1.712
"770",-1,70.63,42.58,0.991,0.781,0.426,0.017,3,-0.516,26.37,0.995,0.736,0.101,0.003,-0.879,25.204,-0.075,8,4,2.33,3.4,3,1.25,1.5,2.58,2.23,2.95,3.33,3.75,3,1.25,1.25,49,53.5,15.98,2,2,2,2,2,1,2,-0.13,3,2,52000,176.71,1.332,136.26,1.296,74.29,0.369
"771",-1,76.13,30.35,0.55,0.052,0.014,0,0,-1.333,24.02,0.99,0.57,0.044,0.001,-1.044,13.449,-0.981,6,5,2.83,2.6,2,2,2,2.86,2.79,2.95,2.33,2,2,3.8,2.75,51,46.5,11.68,2,2,2,1,1,2,2,-0.9,1,2,20000,112.53,0.673,150.88,1.573,78.72,0.561
"772",-1,65.17,40.68,0.983,0.667,0.297,0.009,3,-0.624,39,1,0.984,0.825,0.098,-0.198,25.227,-0.075,8,7,3.5,2.2,3,1.75,2,3.46,3.99,4.92,2.67,3.75,4,2,2.25,43,40,15.21,2,2,2,2,2,1,2,-0.04,3,2,45000,146.51,0.995,156.14,1.69,86.54,0.935
"773",0,64.4,29.19,0.427,0.034,0.009,0,3,-1.463,23.33,0.987,0.51,0.033,0.001,-1.097,24.59,-0.116,4,6,3,2.8,3,1.25,1.5,2.38,2.54,3.65,3,3.5,3.6,1,1,41,37,15.27,2,2,2,2,2,1,2,-1.11,1,1,8000,180.79,1.388,152.65,1.61,75.32,0.413
"774",-1,71.93,28.34,0.343,0.024,0.007,0,0,-1.531,16.62,0.799,0.062,0.001,0,-1.689,20.747,-0.38,4,7,2.83,3.2,3.33,1.5,1.5,1.44,1.33,1.31,2,3,2.4,1,2,45,77.5,25.52,2,2,2,2,2,1,2,-1.91,1,1,600,174.33,1.3,108.22,0.86,72.1,0.277
"775",0,68.8,42.98,0.992,0.799,0.448,0.02,3,-0.471,36.37,1,0.972,0.702,0.052,-0.32,31.551,0.339,5,8,3.5,3.2,4,1.5,2,2.04,1.73,2.26,3,3,3.4,2.2,3.25,49,46.5,14.19,2,2,2,2,2,1,2,1.17,5,1,3e+05,164.23,1.178,156.14,1.69,80.49,0.639
"776",0,66.33,32.23,0.717,0.099,0.027,0,3,-1.249,22.89,0.984,0.471,0.027,0.001,-1.13,18.49,-0.547,6,6,2.67,3.2,2.67,1.5,2,3.25,3.56,4.19,3.5,2.5,2.6,2,1.25,45.45,48,16.3,2,2,2,2,2,1,2,-0.55,2,2,37000,197.87,1.732,139.21,1.349,94.15,1.367
"777",-1,73.67,35.87,0.912,0.289,0.086,0.001,0,-0.952,21.55,0.974,0.354,0.015,0,-1.237,15.343,-0.809,5,4,3.5,3.6,3,1.25,1,2.38,1,1.54,2,2,2,3,1.75,46.5,45,14.4,2,2,2,1,2,2,2,-0.78,1,2,20000,98.78,0.528,67.75,0.34,54.1,-0.415
"778",0,63.13,40.51,0.982,0.654,0.291,0.008,2,-0.634,23.35,0.987,0.512,0.033,0.001,-1.095,19.725,-0.452,4,8,3,3.2,2.67,2,1.5,3.46,3.66,2.95,4,3.25,2.8,1,1.75,43,39.5,15.2,2,2,1,1,2,2,2,-1.01,1,1,6000,174,1.295,153.86,1.639,90.55,1.146
